date,brand,group,plastic,category,location,count
2022-09-06,Coca Cola Beverages South Africa,Coca Cola Beverages South Africa,PET,Soda,Johanna Road,43
2022-09-06,Twist,Coca Cola Beverages South Africa,PET,Soda,Johanna Road,5
2022-09-06,Stoney,Coca Cola Beverages South Africa,PET,Soda,Johanna Road,4
2022-09-06,Sprite,Coca Cola Beverages South Africa,PET,Soda,Johanna Road,3
2022-09-06,Powerade,Coca Cola Beverages South Africa,PET,Soda,Johanna Road,4
2022-09-06,Fanta,Coca Cola Beverages South Africa,PET,Soda,Johanna Road,3
2022-09-06,bonaqua,Coca Cola Beverages South Africa,PET,Water,Johanna Road,1
2022-09-06,Spar-Letta,Coca Cola Beverages South Africa,PET,Water,Johanna Road,2
2022-09-06,Valpré Spring Water,Coca Cola Beverages South Africa,PET,Water,Johanna Road,0
2022-09-06,Schweppes,Coca Cola Beverages South Africa,PET,Soda,Johanna Road,4
2022-09-06,Cooee,Bevco - The Beverage Company,PET,Soda,Johanna Road,22
2022-09-06,Pepsi,Bevco - The Beverage Company,PET,Soda,Johanna Road,0
2022-09-06,aQuellé,Ekhamanzi Springs,PET,Water,Johanna Road,9
2022-09-06,Sunfoil,Willowton Group,PET,Sunflower Oil,Johanna Road,20
2022-09-06,Sunshine D,Willowton Group,PET,Food Container/Packaging,Johanna Road,0
2022-09-06,d'Lite,Willowton Group,PET,Sunflower Oil,Johanna Road,4
2022-09-06,d'Lite,Willowton Group,HDPE/PP,Food Container/Packaging,Johanna Road,3
2022-09-06,Smirnoff,Smirnoff,PET,Alcohol,Johanna Road,13
2022-09-06,NOLA,RCL Foods,PET,Food Container/Packaging,Johanna Road,17
2022-09-06,NOLA,RCL Foods,HDPE/PP,Food Container/Packaging,Johanna Road,3
2022-09-06,YUM YUM,RCL Foods,PET,Food Container/Packaging,Johanna Road,2
2022-09-06,YUM YUM,RCL Foods,HDPE/PP,Food Container/Packaging,Johanna Road,2
2022-09-06,Number 1,RCL Foods,HDPE/PP,Food Container/Packaging,Johanna Road,0
2022-09-06,PIEMAN'S,RCL Foods,PET,Food Container/Packaging,Johanna Road,0
2022-09-06,Checker's House Brand,Checker's,PET,Sunflower Oil,Johanna Road,0
2022-09-06,Checker's House Brand,Checker's,HDPE/PP,Food Container/Packaging,Johanna Road,1
2022-09-06,Gentle Magic,Gentle Magic,PET,Skin/Hair Products,Johanna Road,5
2022-09-06,Woolworths Food,Woolworths,PET,Juices,Johanna Road,0
2022-09-06,Woolworths Food,Woolworths,HDPE/PP,Food Container/Packaging,Johanna Road,3
2022-09-06,UnID Water,unidentifiable,PET,Water,Johanna Road,7
2022-09-06,UnID Oils,unidentifiable,PET,Sunflower Oil,Johanna Road,17
2022-09-06,PET,unidentifiable,PET,Container,Johanna Road,25
2022-09-06,UnID Medical,unidentifiable,HDPE/PP,Medical Container,Johanna Road,24
2022-09-06,DEO,DEO,HDPE/PP,Deodorant,Johanna Road,9
